City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Gobabis,NA,2022-01-25 23:48:03,-22.45,18.9667,71.89,45,45,8.01
92,Mar Del Plata,AR,2022-01-25 23:47:58,-38.0023,-57.5575,73.09,96,75,10.0
93,Ilheus,BR,2022-01-25 23:49:04,-14.7889,-39.0494,82.22,83,40,8.05
94,Broome,US,2022-01-25 23:49:05,42.2506,-75.833,23.0,78,20,1.99
95,Hofn,IS,2022-01-25 23:49:05,64.2539,-15.2082,35.19,54,1,13.82
96,Bethel,US,2022-01-25 23:49:06,41.3712,-73.414,35.04,64,56,4.0
97,Port Lincoln,AU,2022-01-25 23:49:06,-34.7333,135.8667,74.08,77,15,1.16
98,Margate,GB,2022-01-25 23:49:07,51.3813,1.3862,36.75,82,100,4.0
99,Buchanan,LR,2022-01-25 23:49:07,5.8808,-10.0467,77.92,86,5,3.33
100,Baherden,TM,2022-01-25 23:49:07,38.4362,57.4316,41.38,43,20,5.82
101,Saint-Joseph,RE,2022-01-25 23:49:08,-21.3667,55.6167,71.98,73,86,12.75
102,Nome,US,2022-01-25 23:48:28,64.5011,-165.4064,-2.13,78,40,0.0
103,Tromso,NO,2022-01-25 23:49:08,69.6496,18.957,28.42,80,75,3.44
104,Kapaa,US,2022-01-25 23:47:52,22.0752,-159.319,78.78,67,20,3.0
105,Wakema,MM,2022-01-25 23:49:09,16.6,95.1833,65.75,74,0,4.34
106,Beisfjord,NO,2022-01-25 23:49:09,68.3751,17.5988,29.25,95,100,6.6
107,Jishou,CN,2022-01-25 23:49:10,28.3167,109.7167,36.57,99,100,2.84
108,Korla,CN,2022-01-25 23:49:10,41.7597,86.1469,22.57,67,0,4.41
109,Hollins,US,2022-01-25 23:49:11,37.3413,-79.9431,43.18,52,20,11.5
110,Saint Anthony,US,2022-01-25 23:49:11,45.0205,-93.218,1.02,61,0,3.0
111,Strezhevoy,RU,2022-01-25 23:49:12,60.7333,77.5889,-4.02,100,90,3.71
112,Mahibadhoo,MV,2022-01-25 23:49:12,3.7833,72.9667,79.65,65,91,9.75
113,Mocuba,MZ,2022-01-25 23:49:13,-16.8392,36.9856,72.61,96,100,6.29
114,Drayton Valley,CA,2022-01-25 23:45:26,53.2168,-114.9854,39.9,61,100,13.8
115,Beringovskiy,RU,2022-01-25 23:49:14,63.05,179.3167,-22.77,92,18,0.89
116,Saint-Philippe,RE,2022-01-25 23:49:14,-21.3585,55.7679,72.99,72,95,12.93
117,Port Hedland,AU,2022-01-25 23:47:33,-20.3167,118.5667,87.85,74,37,6.91
118,Tamandare,BR,2022-01-25 23:49:15,-8.7597,-35.1047,79.66,78,35,8.61
119,Camacha,PT,2022-01-25 23:49:15,33.0833,-16.3333,58.42,63,40,14.97
120,Pandan,PH,2022-01-25 23:49:16,14.0453,124.1694,77.52,91,99,10.85
121,Lorengau,PG,2022-01-25 23:45:03,-2.0226,147.2712,84.38,73,100,5.1
122,Hovd,MN,2022-01-25 23:49:16,48.0056,91.6419,-11.02,76,62,4.34
123,Samarai,PG,2022-01-25 23:49:17,-10.6167,150.6667,85.01,70,100,1.48
124,Sao Jose Da Coroa Grande,BR,2022-01-25 23:49:17,-8.8978,-35.1478,79.95,77,36,9.42
125,Ponta Do Sol,PT,2022-01-25 23:49:18,32.6667,-17.1,61.43,72,16,7.0
126,Bengkulu,ID,2022-01-25 23:49:18,-3.8004,102.2655,77.45,82,95,3.13
